date,Account,net_pnl,pnl_std,max_adverse_excursion,total_gross_win,total_gross_loss,total_volume,trade_frequency,win_rate,avg_leverage,aggression_score,is_long_sum,is_short_sum,margin_used_sum,sentiment_score,sentiment_class,profit_factor,roe,risk_adjusted_return,avg_trade_size,pnl_efficiency,avg_loss_severity,long_short_ratio,panic_score,risk_sentiment_interaction,prev_net_pnl,prev_total_volume,prev_sentiment_score,prev_win_rate,prev_avg_leverage,target_profitable_next_day
2024-10-27 00:00:00+00:00,0x430f09841d65beb3f27765503d0f850b8bce7713,160450.518105,6536.363386025565,0.0,160450.518105,0.0,289936.95,43,0.8837209302325582,0.5684584221640915,1.0,0,43,801710.435726,74.0,Greed,100.0,0.2001352495302145,24.547368105028493,6742.71976744186,0.553397964988595,0.0,0.0,0.0,42.06592324014277,145563.448374,438228.42,50.0,0.9518072289156626,0.047677144550686376,1.0
2025-02-19 00:00:00+00:00,0x430f09841d65beb3f27765503d0f850b8bce7713,110527.905862,569.2821375310906,0.0,110527.905862,0.0,1883941.47,671,0.4828614008941878,0.2366801276352878,0.15350223546944858,211,460,15129321.38,44.0,Fear,100.0,0.0073055428651354355,194.15312474293762,2807.6623994038746,0.058668439344880495,0.0,0.45869565217391306,0.0,10.413925615952664,160450.518105,289936.95,74.0,0.8837209302325582,0.5684584221640915,0.0
2025-06-15 00:00:00+00:00,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,0.0,0.0,0.0,254006.86,186,0.0,-0.01035215968599005,0.1881720430107527,0,186,-23696739.0,50.0,Neutral,0.0,-0.0,,1365.6282795698924,0.0,0.0,0.0,-0.0,-0.5176079842995025,110527.905862,1883941.47,44.0,0.4828614008941878,0.2366801276352878,0.0
2024-10-27 00:00:00+00:00,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,69282.42904,87.43456873200968,-241.007336,72748.088759,3465.659719,1834112.91,3711,0.3381837779574239,16.265647758681837,0.7407706817569388,1738,1973,-20079278.48668323,74.0,Greed,20.991122804171646,-0.003450444152460397,792.3917284061104,494.23683912691996,0.037774353292131836,1.4110992341205215,0.8808920425747593,56371.200240706276,1203.6579341424558,,,,,,1.0
2025-02-19 00:00:00+00:00,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,32683.214094,90.12345028055714,-1388.851115,69936.927921,37253.713827,2508697.11,4629,0.36552171095268954,108.22863043197873,0.6785482825664291,2270,2359,-9819929.567333806,44.0,Fear,1.87731425236623,-0.003328253412603016,362.6493880588917,541.9522812702527,0.013027963385344675,12.684274370786516,0.9622721492157694,4031918.426001079,4762.059739007064,69282.42904,1834112.91,74.0,0.3381837779574239,16.265647758681837,1.0
2025-06-15 00:00:00+00:00,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1378.073027,30.906857194429925,-147.087963,1826.511444,448.438417,66018.88,179,0.3575418994413408,-23.50479412367102,0.6815642458100558,68,111,-786192.448084821,50.0,Neutral,4.073048549718701,-0.0017528443962505755,44.58793782657261,368.8205586592179,0.02087392314138016,3.8994644956521745,0.6126126126126126,-10540.452668729935,-1175.2397061835509,32683.214094,2508697.11,44.0,0.36552171095268954,108.22863043197873,0.0
2024-10-27 00:00:00+00:00,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,61076.167808,690.833682965998,-6169.375076,68653.437808,7577.27,2769684.87,328,0.4115853658536585,0.35764576125170106,0.6097560975609756,183,145,32106392.02,74.0,Greed,9.060444963423501,0.001902305552425632,88.40936583430326,8444.161189024391,0.022051666768862405,39.26046632124353,1.2620689655172415,2709.978497359677,26.46578633262588,,,,,,1.0
2025-02-19 00:00:00+00:00,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,613327.827224,890.8516709013186,-1053.254763,616273.812613,2945.985389,34247716.57,3806,0.4952706253284288,413.8771036181284,0.5522858644245927,1797,2009,174797839.47481918,44.0,Fear,209.19106215329572,0.0035087837988544133,688.4735666527582,8998.349072517078,0.0179085757723555,1.5335686564289432,0.8944748631159781,1219275.9001006451,18210.59255919765,61076.167808,2769684.87,74.0,0.4115853658536585,0.35764576125170106,1.0
2025-06-15 00:00:00+00:00,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,3343.0556109999998,160.1568514075479,-284.37315,5902.55599,2559.500379,2555547.81,222,0.44144144144144143,-430.31350693692593,0.581081081081081,135,87,-65569191.54591,50.0,Neutral,2.30613600936685,-5.0985158306538994e-05,20.87363470010405,11511.476621621621,0.0013081561604593888,20.641132088709675,1.5517241379310345,-1101387.584093881,-21515.675346846296,613327.827224,34247716.57,44.0,0.4952706253284288,413.8771036181284,0.0
2024-03-09 00:00:00+00:00,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-7919.471032000002,840.4448567931676,-21524.4,29428.601867,37348.072899,4540452.9,730,0.30684931506849317,484.9695204611491,1.0,357,373,2854.045,84.0,Extreme Greed,0.7879550290742834,-2.7748234635403444,-9.422951390550272,6219.798493150685,-0.001744202881611216,73.81042074901187,0.9571045576407506,18112677.00397607,40737.439718736525,,,,,,0.0
2024-07-03 00:00:00+00:00,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-25991.506339,1155.064572916286,-18360.67007,87499.394601,113490.90094,13339126.17,1309,0.3315508021390374,469.7411814065867,1.0,706,603,41945.32368257,50.0,Neutral,0.7709815842175656,-0.619652062663675,-22.50221065422959,10190.317929717341,-0.001948516417623779,129.70388678857142,1.1708126036484245,53311349.8864535,23487.059070329335,-7919.471032000002,4540452.9,84.0,0.30684931506849317,484.9695204611491,1.0
2024-10-27 00:00:00+00:00,0x4f93fead39b70a1824f981a54d4e55b278e9f760,111230.498007,280.50640161646953,-919.50252,119789.615408,8559.117401,33455719.11,1703,0.3282442748091603,11237.499330742643,1.0,960,743,2127.410119,74.0,Greed,13.995556994463524,52.284464106659634,396.53461513182543,19645.16682912507,0.0033247080309731832,7.481745979895105,1.2920592193808882,96183076.06548521,831574.9504749556,-25991.506339,13339126.17,50.0,0.3315508021390374,469.7411814065867,1.0
